State,Crop,Season,Soil_Type,Area,Production,Rainfall,Temperature,Humidity,Nitrogen,Phosphorus,Potassium
Jharkhand,Peas,Whole Year,Sandy,254.11,3643.37,385.42,12.21,91.4,58.58,65.6,14.18
Manipur,Sorghum,Kharif,Black,159.71,1846.02,345.11,38.29,30.7,55.16,59.25,70.99
Maharashtra,Maize,Kharif,Black,3247.7,43154.86,379.7,33.73,61.4,146.72,53.99,54.34
West Bengal,Carrot,Kharif,Clay,363.17,5134.66,493.54,37.32,85.67,107.57,52.62,79.76
Tripura,Peas,Rabi,Clay,618.8,5100.19,206.71,10.58,88.03,117.11,40.51,63.23
Kerala,Pumpkin,Rabi,Clay,1436.23,20661.49,267.19,31.21,94.55,41.18,33.95,35.44
Bihar,Coffee,Kharif,Black,4549.01,56639.22,104.58,29.05,43.15,77.35,18.88,57.85
Madhya Pradesh,Beetroot,Kharif,Loamy,1478.58,14135.93,276.38,10.58,69.51,89.39,62.87,61.03
Nagaland,Mustard,Rabi,Clay,4018.31,49847.73,265.71,34.54,60.23,104.1,35.43,62.06
Tamil Nadu,Turmeric,Whole Year,Laterite,320.38,5652.1,381.91,21.05,55.54,94.64,79.08,22.01
Haryana,Rice,Rabi,Clay,1646.88,20907.51,363.65,18.12,48.58,94.15,23.54,35.54
Haryana,Peas,Whole Year,Sandy,2490.44,43299.78,443.09,27.99,46.45,86.98,25.92,22.51
Meghalaya,Apple,Rabi,Loamy,2349.76,21219.11,78.11,37.62,54.26,106.91,56.72,13.94
Punjab,Cauliflower,Summer,Alluvial,2144.95,37640.87,350.89,35.51,48.36,70.57,31.94,29.8
Manipur,Cotton,Kharif,Clay,4276.02,39402.43,58.73,36.64,51.69,110.82,65.12,29.69
Kerala,Pulses,Kharif,Loamy,2917.63,23927.38,181.42,39.77,77.91,55.64,54.83,40.48
Himachal Pradesh,Groundnut,Rabi,Red,4921.7,64520.07,211.65,16.62,61.96,57.91,26.3,53.15
Punjab,Barley,Whole Year,Clay,1943.28,21609.74,289.64,19.61,67.07,30.64,36.33,26.62
Arunachal Pradesh,Coconut,Summer,Sandy,1183.5,12368.44,267.92,34.25,32.4,38.4,16.87,26.36
Jharkhand,Pulses,Rabi,Laterite,2470.21,19233.59,160.76,38.51,38.13,35.98,27.17,15.37
Uttarakhand,Wheat,Kharif,Laterite,1195.22,21104.77,283.26,25.59,86.64,23.33,32.18,71.77
Goa,Coconut,Rabi,Laterite,2884.93,44499.88,187.64,24.02,83.3,87.69,46.11,29.47
Odisha,Spinach,Whole Year,Sandy,1507.35,22773.25,331.75,32.73,36.71,82.42,39.53,17.95
Himachal Pradesh,Okra,Whole Year,Black,3252.85,43921.73,180.0,24.29,77.72,74.89,75.85,12.15
Manipur,Brinjal,Kharif,Alluvial,3711.78,55075.72,463.26,16.22,88.94,102.13,23.73,61.56
Arunachal Pradesh,Rubber,Kharif,Red,4307.69,65174.41,477.67,11.64,34.03,140.95,65.27,64.2
Andhra Pradesh,Peas,Whole Year,Clay,4964.43,69107.62,69.33,23.54,65.64,80.7,46.44,79.13
Himachal Pradesh,Banana,Whole Year,Laterite,2761.87,34266.04,50.14,22.29,40.65,112.48,25.48,62.42
Assam,Muskmelon,Rabi,Laterite,3144.55,50659.06,489.83,32.28,77.3,54.43,45.34,30.31
Haryana,Sunflower,Rabi,Sandy,857.2,15071.23,334.59,19.45,35.32,49.08,70.86,73.74
Manipur,Pumpkin,Kharif,Red,1730.53,20969.63,287.07,30.86,52.74,110.86,77.27,11.72
Maharashtra,Soybean,Whole Year,Loamy,4387.43,68111.86,444.19,21.06,93.27,112.19,35.91,40.94
Sikkim,Cabbage,Whole Year,Loamy,4538.9,57736.19,185.54,14.58,85.77,51.13,69.04,30.74
Gujarat,Cashew,Whole Year,Red,357.55,5268.61,471.44,14.97,91.37,127.12,15.73,41.16
Punjab,Cardamom,Whole Year,Alluvial,4407.05,51080.98,152.92,29.73,86.98,115.27,19.52,76.6
Himachal Pradesh,Guava,Kharif,Red,3600.17,59167.7,427.44,34.01,47.08,74.21,41.65,37.19
Kerala,Carrot,Rabi,Black,716.67,6968.75,107.95,18.31,79.54,146.02,46.02,33.73
Uttarakhand,Sugarcane,Summer,Alluvial,1733.38,23212.57,251.78,33.94,90.14,89.07,44.7,24.91
Mizoram,Sorghum,Kharif,Black,1693.1,25233.15,281.57,27.96,58.11,118.61,50.91,56.55
Kerala,Chickpea,Rabi,Laterite,1025.51,15490.89,330.51,31.5,39.48,129.56,22.63,65.95
Maharashtra,Carrot,Summer,Red,1836.17,21347.52,123.92,27.96,89.71,86.78,78.1,23.35
Meghalaya,Potato,Summer,Sandy,4547.59,53363.45,421.7,39.49,67.58,144.99,31.35,39.51
Uttarakhand,Lentil,Summer,Black,3652.08,34293.89,233.18,10.19,48.85,65.0,77.53,56.28
Tripura,Okra,Kharif,Loamy,1961.61,23136.99,66.09,32.85,40.58,97.28,58.96,35.66
Telangana,Sesame,Whole Year,Sandy,3672.08,44378.26,210.67,14.87,48.6,141.3,35.02,17.54
Tamil Nadu,Jute,Whole Year,Red,646.29,11224.1,272.77,20.43,84.69,134.54,43.13,72.2
Maharashtra,Banana,Rabi,Sandy,3321.02,45005.01,213.26,23.59,58.55,70.36,33.68,21.75
Arunachal Pradesh,Cauliflower,Summer,Alluvial,4411.96,62561.24,327.8,15.78,87.11,60.54,48.2,73.83
Himachal Pradesh,Tomato,Kharif,Black,3987.17,38656.42,119.09,34.28,79.47,145.85,75.5,24.98
Manipur,Muskmelon,Kharif,Sandy,3207.42,36640.95,258.67,13.27,52.86,106.48,64.38,41.3
Nagaland,Wheat,Rabi,Laterite,4642.84,45104.13,209.35,36.59,81.11,145.03,65.37,32.5
Telangana,Chickpea,Summer,Clay,239.37,2761.54,214.63,33.61,70.18,88.53,10.26,40.49
Odisha,Guava,Whole Year,Loamy,1560.05,23278.15,317.08,25.06,38.45,148.67,39.76,45.4
Telangana,Peas,Whole Year,Alluvial,1118.91,14952.57,136.65,21.53,42.98,140.43,60.0,72.85
Tripura,Turmeric,Summer,Loamy,939.63,12454.19,109.61,28.98,70.6,40.36,34.67,14.64
Maharashtra,Cauliflower,Rabi,Laterite,3702.13,70369.21,429.87,24.29,36.21,114.46,27.96,37.18
Assam,Pulses,Rabi,Red,2604.32,35884.95,105.13,25.55,85.94,89.95,62.34,48.36
Bihar,Pumpkin,Whole Year,Black,1014.29,16538.49,175.51,23.23,82.62,127.77,21.44,48.7
Kerala,Sugarcane,Summer,Laterite,4597.02,52902.2,470.95,13.16,75.7,24.32,13.26,77.05
Chhattisgarh,Rice,Summer,Clay,3352.69,41947.05,430.63,36.13,31.33,126.37,69.72,51.69
Meghalaya,Pulses,Kharif,Alluvial,4326.75,78076.04,411.41,24.88,81.07,119.55,50.53,25.42
Andhra Pradesh,Sugarcane,Summer,Laterite,45.68,407.4,86.24,32.79,32.18,71.98,79.0,65.67
Uttarakhand,Onion,Rabi,Clay,2184.72,25942.76,288.93,39.65,51.41,48.14,41.39,46.7
Maharashtra,Soybean,Summer,Black,2071.8,29239.32,346.48,33.2,94.09,42.56,34.19,21.78
Tripura,Tea,Kharif,Clay,3163.8,53249.43,378.88,30.95,46.73,83.18,56.43,75.17
Uttar Pradesh,Cashew,Kharif,Loamy,1938.74,21269.08,293.59,39.29,70.84,40.12,69.02,22.7
Sikkim,Beetroot,Kharif,Laterite,2990.14,31580.41,238.41,11.96,33.68,77.25,65.85,15.92
Nagaland,Jute,Rabi,Laterite,4495.51,59053.8,238.03,29.59,94.42,92.14,16.78,69.75
Uttarakhand,Apple,Kharif,Sandy,2243.89,30887.61,391.89,16.97,57.27,61.36,27.43,32.01
Meghalaya,Apple,Whole Year,Red,2670.82,36893.4,257.92,25.1,94.75,104.97,59.24,31.95
Himachal Pradesh,Orange,Kharif,Black,1713.54,26308.45,384.72,30.59,67.62,102.87,50.95,76.94
Goa,Okra,Rabi,Loamy,2506.39,42525.12,294.44,25.36,35.87,72.65,24.3,47.36
Meghalaya,Mango,Kharif,Black,194.62,3322.71,241.87,22.99,45.37,119.35,37.05,56.86
Haryana,Tea,Whole Year,Sandy,4541.25,37217.32,57.15,12.04,76.94,65.96,79.06,25.15
Andhra Pradesh,Onion,Rabi,Sandy,4605.91,49191.04,61.81,25.94,51.77,64.98,27.35,19.44
Rajasthan,Castor,Kharif,Laterite,3305.23,34659.21,399.74,11.95,30.96,98.04,60.67,37.64
Tripura,Wheat,Whole Year,Alluvial,1083.81,11553.0,195.98,30.14,30.01,119.61,72.94,13.61
Sikkim,Coconut,Rabi,Clay,401.53,5997.52,357.0,28.37,71.77,125.75,30.08,57.39
West Bengal,Turmeric,Whole Year,Clay,3571.4,66349.05,389.31,25.12,38.37,55.84,26.4,46.3
Haryana,Orange,Whole Year,Alluvial,3842.73,53847.95,93.88,24.67,78.74,86.01,45.61,14.46
Arunachal Pradesh,Brinjal,Kharif,Black,2807.48,45561.55,278.88,29.89,88.5,103.0,65.18,43.62
Arunachal Pradesh,Apple,Summer,Laterite,2447.71,35311.53,117.0,24.01,34.22,94.91,30.07,68.92
Kerala,Sesame,Summer,Red,2263.49,31270.16,335.15,17.76,72.73,57.52,43.9,11.64
Punjab,Castor,Summer,Laterite,4034.4,57033.43,347.17,36.8,88.81,68.71,35.73,68.5
Mizoram,Peas,Summer,Loamy,3171.48,44612.98,448.17,35.79,34.09,132.67,13.56,20.79
Maharashtra,Groundnut,Summer,Laterite,4276.77,66196.56,309.31,26.79,88.83,57.51,20.18,15.79
Meghalaya,Sorghum,Rabi,Black,1872.11,33317.53,440.58,19.65,77.6,106.76,24.09,18.71
Meghalaya,Guava,Whole Year,Clay,74.59,1023.61,347.3,33.46,49.66,116.94,21.58,77.23
Gujarat,Peas,Kharif,Sandy,848.41,6316.09,169.83,36.84,91.42,66.3,74.67,48.28
Odisha,Millet,Kharif,Clay,2734.96,24260.18,254.52,10.48,30.84,101.59,15.14,61.59
Mizoram,Muskmelon,Summer,Alluvial,2177.49,34595.71,249.45,32.88,52.59,85.98,24.82,63.44
Uttarakhand,Sorghum,Kharif,Sandy,2120.65,29984.55,365.27,33.14,59.92,75.34,59.38,48.87
Rajasthan,Banana,Summer,Alluvial,2117.24,38946.05,373.58,22.88,30.07,72.05,20.33,37.9
Punjab,Maize,Rabi,Sandy,627.62,8382.66,377.85,32.65,47.22,84.37,42.48,34.87
Meghalaya,Ginger,Kharif,Alluvial,2091.73,34953.77,374.54,24.95,35.55,126.91,25.35,59.48
Rajasthan,Mango,Rabi,Laterite,2361.3,21023.83,366.15,10.98,32.66,136.52,62.48,67.99
Sikkim,Chili,Rabi,Red,3670.18,37631.43,423.25,37.22,63.61,73.89,68.17,62.69
Goa,Coffee,Kharif,Sandy,4417.73,42378.24,90.07,30.39,35.77,117.36,53.99,11.12
Tamil Nadu,Rubber,Summer,Clay,2424.28,23000.63,101.98,13.77,46.65,20.11,29.31,53.29
Bihar,Chili,Whole Year,Laterite,606.95,10834.34,439.51,21.74,55.16,65.35,18.73,43.5
Meghalaya,Cucumber,Kharif,Loamy,352.45,5209.54,281.93,20.3,38.94,20.04,37.19,30.61
Jharkhand,Ginger,Summer,Laterite,4694.23,64688.76,439.87,13.87,30.76,69.97,70.57,26.11
Manipur,Mango,Kharif,Loamy,1203.06,20103.79,159.14,26.45,48.83,125.52,34.28,56.26
West Bengal,Sesame,Whole Year,Laterite,1218.35,11415.18,423.71,10.38,46.67,70.37,23.72,52.28
Gujarat,Cauliflower,Whole Year,Red,1463.1,21075.12,149.57,20.54,69.15,104.29,30.81,76.32
Maharashtra,Pulses,Kharif,Red,416.59,6509.74,349.18,23.8,66.99,43.93,40.35,63.64
Tripura,Cotton,Rabi,Laterite,642.38,8206.21,182.14,32.77,63.17,123.04,62.84,51.1
Mizoram,Cotton,Whole Year,Red,2850.66,33086.49,267.27,36.07,34.64,105.28,17.91,67.39
Uttarakhand,Banana,Kharif,Loamy,1842.35,29059.14,433.59,37.32,50.24,51.45,42.29,62.21
Uttarakhand,Potato,Whole Year,Clay,2568.24,32459.36,113.36,30.15,70.83,100.91,62.84,22.69
Bihar,Cardamom,Whole Year,Red,3990.96,49237.48,115.81,20.23,85.5,84.97,68.83,27.63
Nagaland,Cashew,Kharif,Clay,4474.94,41436.05,189.44,39.18,83.8,79.23,61.96,48.87
Andhra Pradesh,Pumpkin,Whole Year,Clay,3385.58,42203.14,160.54,15.74,56.54,67.77,13.24,39.94
Uttarakhand,Cotton,Rabi,Alluvial,1516.06,26729.6,477.08,25.17,48.66,121.79,25.65,27.34
Nagaland,Tomato,Rabi,Black,3588.68,22367.57,70.5,14.02,43.99,97.7,72.67,32.74
Maharashtra,Chickpea,Summer,Alluvial,4624.41,88031.1,410.45,21.67,43.41,70.87,24.96,49.28
Assam,Coffee,Kharif,Clay,2330.69,20363.34,81.52,37.76,75.17,100.76,55.05,37.9
Punjab,Muskmelon,Rabi,Sandy,3698.32,43813.83,239.39,36.43,76.62,93.09,75.64,73.87
West Bengal,Cotton,Kharif,Red,3220.05,44379.84,137.61,26.57,55.0,92.54,75.27,44.01
Nagaland,Banana,Whole Year,Loamy,1635.47,29835.84,400.16,24.1,78.19,138.15,35.36,79.26
Punjab,Chili,Kharif,Laterite,3172.56,21636.74,70.79,13.05,48.92,94.83,11.12,43.76
Haryana,Cotton,Rabi,Black,1418.06,24455.45,333.0,25.48,40.69,138.03,44.88,65.56
Meghalaya,Lentil,Summer,Alluvial,3590.16,35195.49,243.74,39.22,49.41,53.35,72.63,59.52
Nagaland,Mango,Rabi,Clay,898.41,9976.62,191.07,13.77,39.45,120.96,14.46,40.75
Assam,Mango,Rabi,Red,451.14,6007.22,379.6,14.43,90.97,92.7,38.12,57.9
Odisha,Lentil,Whole Year,Sandy,176.74,2738.95,444.96,22.76,79.32,139.19,55.7,36.3
Punjab,Coffee,Kharif,Loamy,3072.9,46216.63,439.76,11.23,62.26,96.57,23.36,27.68
Mizoram,Spinach,Kharif,Sandy,1585.74,20496.67,394.14,32.4,52.45,83.52,56.52,34.03
Jharkhand,Onion,Summer,Sandy,2847.97,44169.59,414.76,15.59,83.92,101.29,49.89,63.36
Assam,Chickpea,Kharif,Laterite,1209.48,14816.56,130.79,28.7,47.5,112.87,46.01,58.65
Rajasthan,Guava,Kharif,Alluvial,183.62,2204.68,406.83,12.26,67.74,64.73,11.24,16.8
Madhya Pradesh,Beetroot,Kharif,Alluvial,1800.54,20466.34,59.19,28.5,76.2,71.67,22.84,31.42
West Bengal,Maize,Kharif,Alluvial,3490.03,60401.57,297.42,19.02,85.6,75.95,31.05,63.78
Maharashtra,Onion,Kharif,Laterite,3484.71,34901.95,388.71,37.48,76.26,65.75,65.34,58.71
Assam,Apple,Rabi,Black,1083.17,19380.23,486.54,32.1,75.86,54.71,31.94,56.76
Maharashtra,Muskmelon,Summer,Sandy,4395.33,53642.55,122.18,13.49,66.7,85.02,38.2,73.33
Arunachal Pradesh,Mustard,Kharif,Red,4938.15,77220.6,330.38,34.75,59.08,44.94,32.74,34.23
Himachal Pradesh,Watermelon,Summer,Sandy,1941.22,24992.13,95.26,24.9,91.58,64.06,13.48,52.61
Assam,Orange,Kharif,Clay,3046.09,46031.93,143.04,18.96,36.99,20.69,26.76,46.12
Uttarakhand,Watermelon,Kharif,Sandy,1369.34,22658.16,396.6,24.43,41.84,70.99,28.9,13.55
Karnataka,Millet,Rabi,Sandy,3584.22,49454.99,196.99,18.4,60.89,66.1,73.08,18.64
Bihar,Groundnut,Whole Year,Loamy,2717.01,36085.44,333.29,38.88,35.98,33.63,37.55,43.09
Nagaland,Watermelon,Rabi,Sandy,2968.85,34205.94,315.87,37.84,41.16,120.31,42.38,22.23
Rajasthan,Barley,Whole Year,Loamy,210.51,2547.06,369.25,14.61,69.67,103.69,56.57,18.41
Maharashtra,Okra,Whole Year,Clay,1482.35,12955.43,131.75,38.88,89.84,33.75,72.95,72.36
Telangana,Barley,Summer,Clay,4196.51,66243.45,346.96,20.48,63.18,92.52,16.02,78.06
Meghalaya,Grapes,Rabi,Alluvial,1238.63,10533.74,166.5,38.19,56.46,88.97,60.7,36.0
Nagaland,Cashew,Kharif,Alluvial,1870.73,27315.65,394.17,17.2,74.23,80.68,56.32,36.59
Uttar Pradesh,Potato,Summer,Red,3062.17,36875.71,373.94,31.87,49.16,50.26,45.64,20.35
Himachal Pradesh,Cotton,Summer,Laterite,2140.22,30823.71,439.58,14.79,79.85,34.3,11.23,79.65
Haryana,Rubber,Kharif,Red,2361.17,33387.61,324.88,28.89,37.14,57.04,31.07,36.47
Bihar,Guava,Kharif,Alluvial,1780.38,27977.04,220.65,24.62,41.28,122.48,70.25,27.37
Tamil Nadu,Apple,Summer,Laterite,3424.94,36701.51,288.28,36.66,90.84,109.82,70.45,23.66
Kerala,Watermelon,Rabi,Red,3328.81,46029.9,428.16,18.91,57.61,33.64,38.89,25.01
Uttar Pradesh,Guava,Whole Year,Black,1739.92,18575.37,303.35,13.03,56.99,131.48,56.24,17.28
Punjab,Castor,Whole Year,Red,2270.75,32669.71,361.44,15.18,65.78,100.33,74.94,14.68
West Bengal,Maize,Rabi,Laterite,1279.9,13311.93,70.85,18.98,31.77,127.48,24.3,73.78
Tripura,Maize,Kharif,Laterite,1067.44,14943.04,227.07,31.03,37.76,82.35,29.23,36.5
Sikkim,Cashew,Whole Year,Sandy,4496.22,36553.01,260.6,39.48,93.1,85.84,47.94,56.74
Nagaland,Sugarcane,Rabi,Laterite,186.83,3315.7,433.73,38.21,31.7,122.6,37.01,50.99
Odisha,Beetroot,Kharif,Red,1470.16,27344.62,467.38,26.03,74.77,81.42,26.95,48.29
Arunachal Pradesh,Peas,Whole Year,Loamy,4315.25,72733.92,406.31,34.45,68.82,26.75,47.74,38.54
Gujarat,Jute,Summer,Clay,2536.08,38486.09,472.91,14.49,65.85,27.56,42.08,37.8
Sikkim,Chili,Rabi,Sandy,4609.58,42980.08,319.66,11.76,59.52,43.31,53.99,23.3
Telangana,Apple,Rabi,Black,155.69,2355.59,372.25,19.2,75.38,104.95,14.63,31.84
Meghalaya,Apple,Summer,Alluvial,3692.7,49521.89,190.59,17.35,56.53,94.78,56.62,44.86
Manipur,Groundnut,Summer,Loamy,2237.18,33140.99,394.59,36.61,62.58,148.28,22.23,25.71
Goa,Apple,Whole Year,Clay,2697.04,15430.64,69.24,30.44,53.28,141.64,23.08,31.15
Manipur,Turmeric,Kharif,Black,744.45,13979.85,419.41,23.46,67.24,91.05,50.28,59.34
Himachal Pradesh,Chili,Whole Year,Red,2773.01,36087.4,160.03,27.67,58.08,25.12,61.38,29.23
Karnataka,Lentil,Whole Year,Loamy,141.77,1256.65,84.32,12.46,33.65,54.81,32.72,17.79
Gujarat,Chickpea,Whole Year,Alluvial,868.55,12710.57,464.87,10.02,58.46,23.89,73.87,18.81
Maharashtra,Watermelon,Whole Year,Black,171.92,2651.85,224.78,19.68,93.24,120.74,59.56,40.95
Maharashtra,Castor,Summer,Red,1149.91,19447.79,362.76,25.25,64.7,74.12,21.65,21.64
Bihar,Tomato,Rabi,Clay,265.46,3049.93,273.74,20.4,74.97,33.96,19.29,38.29
Chhattisgarh,Sesame,Whole Year,Laterite,2932.27,35529.92,456.17,16.53,68.75,105.18,60.81,79.21
Kerala,Garlic,Whole Year,Black,2223.51,27483.04,161.24,21.9,94.1,65.3,59.56,27.53
Assam,Cabbage,Summer,Laterite,270.49,3603.58,374.26,32.08,52.39,122.26,55.69,45.28
Himachal Pradesh,Muskmelon,Kharif,Red,3283.59,46245.07,317.62,18.72,46.05,81.89,45.87,65.85
Sikkim,Orange,Summer,Red,1723.04,18469.82,227.35,27.01,66.24,66.97,52.17,53.12
Nagaland,Brinjal,Kharif,Alluvial,2349.17,30556.9,113.85,32.24,64.65,71.91,49.17,26.89
Maharashtra,Apple,Whole Year,Black,1138.71,19064.65,387.05,25.63,86.01,130.14,44.62,23.68
Chhattisgarh,Carrot,Rabi,Clay,3161.6,49454.73,218.1,20.03,93.69,76.22,57.46,53.94
Kerala,Cardamom,Kharif,Sandy,1622.56,25064.57,409.52,28.23,50.61,66.32,61.21,48.5
Rajasthan,Cashew,Kharif,Laterite,3103.11,37462.97,101.61,19.64,72.18,55.65,71.62,56.29
Karnataka,Tomato,Summer,Black,4458.71,84624.19,179.67,25.97,57.97,111.54,37.66,72.5
Gujarat,Chili,Kharif,Laterite,2556.9,34286.36,471.84,13.93,30.87,87.83,63.52,55.37
Tamil Nadu,Sugarcane,Whole Year,Sandy,2151.86,28596.71,221.67,19.98,43.79,118.69,16.04,72.13
Madhya Pradesh,Barley,Kharif,Red,2403.89,26817.89,177.54,15.89,48.94,104.5,16.84,33.3
Assam,Peas,Whole Year,Sandy,4502.5,44130.33,100.35,38.29,52.85,131.99,56.79,77.22
Rajasthan,Cabbage,Whole Year,Laterite,735.02,8844.43,139.59,18.26,44.92,85.43,73.37,22.87
Tripura,Cashew,Kharif,Black,927.13,8785.92,119.3,14.66,87.33,112.46,33.55,73.18
Arunachal Pradesh,Watermelon,Whole Year,Sandy,1145.5,19493.11,401.0,29.47,53.85,21.87,63.46,43.42
Assam,Tomato,Rabi,Loamy,3145.61,35344.24,295.85,17.21,39.09,135.02,19.44,16.0
Tamil Nadu,Mustard,Kharif,Alluvial,357.5,4721.95,81.79,27.58,79.29,109.66,51.5,24.76
Meghalaya,Banana,Kharif,Red,1138.35,17434.54,321.28,21.72,30.92,22.89,29.19,45.87
Nagaland,Cabbage,Rabi,Alluvial,4743.67,42598.29,190.78,10.44,72.94,50.22,49.67,20.55
Punjab,Tea,Summer,Black,691.64,9490.07,136.55,30.12,37.14,90.31,68.86,76.33
Uttar Pradesh,Garlic,Rabi,Alluvial,1955.41,21219.03,208.88,23.53,46.5,131.76,32.27,41.46
Gujarat,Tomato,Rabi,Sandy,3037.17,41341.1,314.42,18.85,32.04,141.78,34.89,47.71
Karnataka,Castor,Summer,Alluvial,1311.39,12191.36,50.67,18.64,35.86,48.52,33.32,18.96
Sikkim,Chickpea,Rabi,Laterite,4777.09,59586.45,276.36,39.97,69.52,35.29,14.26,23.54
Tamil Nadu,Linseed,Kharif,Loamy,1496.44,18002.31,210.62,19.02,91.96,28.56,73.53,32.63
Assam,Sunflower,Rabi,Red,1442.55,30364.17,494.37,26.44,60.96,146.94,25.87,73.63
West Bengal,Coffee,Summer,Laterite,4550.16,68139.78,318.44,31.49,84.74,88.07,69.18,54.71
Rajasthan,Castor,Whole Year,Black,3982.46,46027.07,164.39,27.4,54.47,105.85,79.56,13.2
Jharkhand,Turmeric,Whole Year,Clay,4171.48,22134.19,182.28,12.11,71.1,117.73,76.82,21.17
Himachal Pradesh,Pulses,Summer,Alluvial,1186.43,16769.23,483.24,17.15,77.67,122.04,40.14,58.3
Uttarakhand,Linseed,Rabi,Black,2448.3,46669.82,497.44,22.84,61.18,107.61,23.0,73.14
Rajasthan,Coffee,Kharif,Clay,3051.7,47517.22,447.69,30.4,63.25,141.13,40.78,45.04
Nagaland,Cardamom,Kharif,Black,4186.12,32423.71,128.6,38.16,49.93,22.44,23.07,39.04
Kerala,Orange,Kharif,Loamy,1022.38,9611.43,58.53,18.97,44.71,74.57,63.13,45.68
Tamil Nadu,Jute,Rabi,Loamy,1580.43,27949.87,287.09,24.08,67.9,135.05,70.71,78.67
Bihar,Cauliflower,Summer,Alluvial,2417.43,18819.19,69.98,14.39,51.71,114.31,15.7,35.31
Himachal Pradesh,Grapes,Kharif,Clay,1642.38,21975.64,322.88,15.92,33.32,31.81,39.88,64.12
Jharkhand,Sorghum,Rabi,Red,1969.62,36947.12,487.63,22.15,55.73,85.2,11.79,39.25
Rajasthan,Grapes,Whole Year,Black,4460.62,76881.29,455.33,16.73,78.93,33.37,12.09,68.56
Manipur,Castor,Rabi,Red,3036.88,47541.4,417.55,15.69,37.42,30.05,11.74,18.15
Jharkhand,Muskmelon,Rabi,Clay,2986.1,50689.44,456.38,19.68,50.39,52.35,45.39,26.66
Himachal Pradesh,Soybean,Rabi,Clay,2009.86,25384.95,375.15,12.95,78.72,98.38,54.11,14.53
Himachal Pradesh,Tea,Rabi,Sandy,624.71,10997.43,320.91,32.02,40.17,34.66,58.38,46.19
Manipur,Guava,Kharif,Black,2283.83,24375.14,259.3,10.47,50.54,20.65,74.67,30.58
Madhya Pradesh,Onion,Summer,Red,4167.9,30737.86,146.31,12.14,34.46,59.06,42.43,54.06
Himachal Pradesh,Sugarcane,Kharif,Black,3422.78,23772.03,132.14,39.92,92.34,33.31,55.86,73.23
Chhattisgarh,Cabbage,Kharif,Alluvial,4023.26,37306.84,227.76,10.65,82.72,77.73,69.3,64.32
Mizoram,Mango,Whole Year,Clay,2315.75,42599.45,363.43,30.09,63.67,96.1,65.9,50.01
Maharashtra,Cardamom,Whole Year,Clay,635.88,6514.91,241.6,36.15,71.81,146.44,12.8,60.54
Gujarat,Watermelon,Rabi,Sandy,4131.37,42220.69,123.21,16.42,52.13,122.49,53.72,28.54
Assam,Okra,Whole Year,Sandy,3044.83,48556.12,308.71,31.2,75.43,31.34,29.99,72.29
Punjab,Tomato,Summer,Laterite,3527.89,36314.87,389.87,12.83,82.19,28.25,70.93,37.46
Mizoram,Potato,Kharif,Alluvial,3144.78,42368.13,239.35,18.2,33.92,124.11,18.55,38.72
Bihar,Groundnut,Kharif,Black,1581.77,15949.6,423.36,39.35,91.2,100.91,78.55,38.05
Punjab,Rubber,Kharif,Clay,3056.33,52677.15,409.75,27.86,35.12,99.49,63.7,23.15
Jharkhand,Chili,Kharif,Laterite,4932.43,50356.63,234.53,10.75,57.24,105.83,72.4,75.67
Tripura,Sesame,Summer,Alluvial,1825.02,32130.69,458.09,30.69,60.41,33.55,27.24,48.84
Madhya Pradesh,Potato,Summer,Sandy,777.24,11504.77,344.75,18.82,41.03,43.2,44.48,50.86
Meghalaya,Sesame,Whole Year,Black,3570.17,53883.34,341.91,16.49,73.51,47.49,51.55,56.82
Maharashtra,Apple,Whole Year,Red,1513.26,20719.42,230.7,17.07,80.41,94.34,36.61,11.12
Haryana,Pumpkin,Summer,Clay,3018.55,45711.83,416.99,19.04,90.6,47.73,74.35,11.98
Punjab,Sunflower,Summer,Black,3052.8,47842.55,299.69,30.47,48.8,27.01,27.57,22.34
Nagaland,Pulses,Rabi,Alluvial,3840.0,34534.45,197.12,11.94,76.8,148.65,49.62,28.46
Assam,Soybean,Rabi,Clay,3509.88,42633.4,448.85,37.27,85.98,104.3,41.49,57.55
Himachal Pradesh,Barley,Whole Year,Alluvial,4496.63,55124.55,195.46,34.16,54.52,119.29,25.46,63.46
Haryana,Millet,Summer,Alluvial,2633.09,36027.56,59.85,22.19,53.71,147.16,37.85,73.5
Tamil Nadu,Sunflower,Whole Year,Sandy,3412.75,33321.93,335.68,16.07,65.78,125.52,36.24,27.29
Rajasthan,Chili,Whole Year,Loamy,4165.04,55902.12,474.56,38.94,58.12,101.02,70.02,25.64
Uttarakhand,Tea,Whole Year,Red,2655.79,42587.47,361.16,27.24,33.54,92.91,55.36,54.91
Uttarakhand,Groundnut,Rabi,Alluvial,4504.53,56492.82,380.18,12.64,78.99,62.99,11.63,43.86
Kerala,Cabbage,Whole Year,Black,1760.98,15788.88,57.48,11.51,53.03,88.69,26.6,21.65
Gujarat,Millet,Summer,Loamy,3158.17,51206.39,479.88,34.2,43.99,143.65,62.58,20.85
Uttar Pradesh,Garlic,Summer,Black,4686.45,79710.52,372.45,23.26,68.87,126.14,72.83,76.95
Bihar,Lentil,Summer,Black,4842.17,91413.11,481.38,24.33,72.16,125.2,40.32,68.06
Tamil Nadu,Groundnut,Summer,Clay,590.9,4217.98,96.44,37.02,49.74,62.5,64.38,39.04
